VCD info: dumpfile lcg_prng_waveform.vcd opened for output.
First LFSR Output:  84
Cycle          1: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1001
Cycle          2: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0011
Cycle          3: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0111
Cycle          4: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1110
Cycle          5: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1101
Cycle          6: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1011
Cycle          7: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0111
Cycle          8: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1110
Cycle          9: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1101
Cycle         10: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1011
Cycle         11: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0110
Cycle         12: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1100
Cycle         13: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1001
Cycle         14: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0011
Cycle         15: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0111
Cycle         16: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1111
Cycle         17: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1110
Cycle         18: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1101
Cycle         19: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1011
Cycle         20: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0111
Cycle         21: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1111
Cycle         22: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1111
Cycle         23: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1111
Cycle         24: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1110
Cycle         25: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1101
Cycle         26: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1010
Cycle         27: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0100
Cycle         28: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1001
Cycle         29: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0011
Cycle         30: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0110
Cycle         31: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1100
Cycle         32: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1001
Cycle         33: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0011
Cycle         34: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0110
Cycle         35: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1101
Cycle         36: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1010
Cycle         37: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0101
Cycle         38: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1010
Cycle         39: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0100
Cycle         40: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1000
Cycle         41: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0001
Cycle         42: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0011
Cycle         43: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0110
Cycle         44: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1100
Cycle         45: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1000
Cycle         46: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0000
Cycle         47: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0000
Cycle         48: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0001
Cycle         49: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0011
Cycle         50: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_0111
Cycle         51: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1110
Cycle         52: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1101
Cycle         53: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1010
Cycle         54: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0101
Cycle         55: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1010
Cycle         56: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0101
Cycle         57: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1010
Cycle         58: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0101
Cycle         59: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1011
Cycle         60: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0111
Cycle         61: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1111
Cycle         62: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1111
Cycle         63: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1110
Cycle         64: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1100
Cycle         65: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1001
Cycle         66: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0010
Cycle         67: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0101
Cycle         68: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1010
Cycle         69: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0100
Cycle         70: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1000
Cycle         71: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0000
Cycle         72: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0001
Cycle         73: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0010
Cycle         74: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0100
Cycle         75: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1001
Cycle         76: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0011
Cycle         77: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0111
Cycle         78: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1111
Cycle         79: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1111
Cycle         80: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1111
Cycle         81: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1111
Cycle         82: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1111
Cycle         83: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1110
Cycle         84: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1100
Cycle         85: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1000
Cycle         86: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0000
Cycle         87: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0001
