VCD info: dumpfile lcg_prng_waveform.vcd opened for output.
First PRNG Output: 211
Cycle          1: PRNG Output:  32
Cycle          2: PRNG Output: 161
Cycle          3: PRNG Output:  38
Cycle          4: PRNG Output: 191
Cycle          5: PRNG Output: 188
Cycle          6: PRNG Output: 173
Cycle          7: PRNG Output:  98
Cycle          8: PRNG Output: 235
Cycle          9: PRNG Output: 152
Cycle         10: PRNG Output: 249
Cycle         11: PRNG Output: 222
Cycle         12: PRNG Output:  87
Cycle         13: PRNG Output: 180
Cycle         14: PRNG Output: 133
Cycle         15: PRNG Output: 154
Cycle         16: PRNG Output:   3
Cycle         17: PRNG Output:  16
Cycle         18: PRNG Output:  81
Cycle         19: PRNG Output: 150
Cycle         20: PRNG Output: 239
Cycle         21: PRNG Output: 172
Cycle         22: PRNG Output:  93
Cycle         23: PRNG Output: 210
Cycle         24: PRNG Output:  27
Cycle         25: PRNG Output: 136
Cycle         26: PRNG Output: 169
Cycle         27: PRNG Output:  78
Cycle         28: PRNG Output: 135
Cycle         29: PRNG Output: 164
Cycle         30: PRNG Output:  53
Cycle         31: PRNG Output:  10
Cycle         32: PRNG Output:  51
Cycle         33: PRNG Output:   0
Cycle         34: PRNG Output:   1
Cycle         35: PRNG Output:   6
Cycle         36: PRNG Output:  31
Cycle         37: PRNG Output: 156
Cycle         38: PRNG Output:  13
Cycle         39: PRNG Output:  66
Cycle         40: PRNG Output:  75
Cycle         41: PRNG Output: 120
Cycle         42: PRNG Output:  89
Cycle         43: PRNG Output: 190
Cycle         44: PRNG Output: 183
Cycle         45: PRNG Output: 148
Cycle         46: PRNG Output: 229
Cycle         47: PRNG Output: 122
Cycle         48: PRNG Output:  99
Cycle         49: PRNG Output: 240
Cycle         50: PRNG Output: 177
Cycle         51: PRNG Output: 118
Cycle         52: PRNG Output:  79
Cycle         53: PRNG Output: 140
Cycle         54: PRNG Output: 189
Cycle         55: PRNG Output: 178
Cycle         56: PRNG Output: 123
Cycle         57: PRNG Output: 104
Cycle         58: PRNG Output:   9
Cycle         59: PRNG Output:  46
Cycle         60: PRNG Output: 231
Cycle         61: PRNG Output: 132
Cycle         62: PRNG Output: 149
Cycle         63: PRNG Output: 234
Cycle         64: PRNG Output: 147
Cycle         65: PRNG Output: 224
Cycle         66: PRNG Output:  97
Cycle         67: PRNG Output: 230
