VCD info: dumpfile lcg_prng_waveform.vcd opened for output.
First PRNG Output: 208
Cycle          1: PRNG Output: 221
Cycle          2: PRNG Output:  66
Cycle          3: PRNG Output:  90
Cycle          4: PRNG Output: 192
Cycle          5: PRNG Output: 222
Cycle          6: PRNG Output: 189
Cycle          7: PRNG Output: 130
Cycle          8: PRNG Output: 247
Cycle          9: PRNG Output: 195
Cycle         10: PRNG Output:  59
Cycle         11: PRNG Output:  93
Cycle         12: PRNG Output: 147
Cycle         13: PRNG Output: 237
Cycle         14: PRNG Output: 120
Cycle         15: PRNG Output: 136
Cycle         16: PRNG Output:  97
Cycle         17: PRNG Output: 188
Cycle         18: PRNG Output: 192
Cycle         19: PRNG Output:  67
Cycle         20: PRNG Output: 235
Cycle         21: PRNG Output:  46
Cycle         22: PRNG Output: 253
Cycle         23: PRNG Output: 163
Cycle         24: PRNG Output: 189
Cycle         25: PRNG Output:  95
Cycle         26: PRNG Output: 146
Cycle         27: PRNG Output:  29
Cycle         28: PRNG Output:  55
Cycle         29: PRNG Output: 147
Cycle         30: PRNG Output: 107
Cycle         31: PRNG Output:  39
Cycle         32: PRNG Output: 121
Cycle         33: PRNG Output: 106
Cycle         34: PRNG Output: 237
Cycle         35: PRNG Output:  81
Cycle         36: PRNG Output: 210
Cycle         37: PRNG Output: 235
Cycle         38: PRNG Output: 183
Cycle         39: PRNG Output: 150
Cycle         40: PRNG Output: 219
Cycle         41: PRNG Output: 176
Cycle         42: PRNG Output:  47
Cycle         43: PRNG Output: 113
Cycle         44: PRNG Output: 223
Cycle         45: PRNG Output:  54
Cycle         46: PRNG Output:  83
Cycle         47: PRNG Output: 221
Cycle         48: PRNG Output: 218
Cycle         49: PRNG Output: 108
Cycle         50: PRNG Output: 149
Cycle         51: PRNG Output: 216
Cycle         52: PRNG Output: 203
Cycle         53: PRNG Output: 245
Cycle         54: PRNG Output: 120
Cycle         55: PRNG Output: 194
Cycle         56: PRNG Output: 253
Cycle         57: PRNG Output: 137
Cycle         58: PRNG Output: 211
Cycle         59: PRNG Output: 244
Cycle         60: PRNG Output: 159
Cycle         61: PRNG Output:  73
Cycle         62: PRNG Output: 221
Cycle         63: PRNG Output: 155
Cycle         64: PRNG Output: 107
Cycle         65: PRNG Output: 164
Cycle         66: PRNG Output: 216
Cycle         67: PRNG Output: 110
Cycle         68: PRNG Output: 249
